sample_name,replicate,batch_id
G3.UW.ALL.L25S1,A,1
G3.UW.ALL.L31S2,A,1
G3.UW.ALL.L32S1,A,1
G3.UW.ALL.L35S2,A,2
G3.UW.ALL.L37S1,A,2
G3.UW.ALL.L38S1,A,2
G3.UW.ALL.L40S1,A,2
G3.UW.ALL.L40S2,A,1
G3.UW.ALL.L25S1,B,1
G3.UW.ALL.L29S1,B,1
G3.UW.ALL.L31S2,B,1
G3.UW.ALL.L32S3,B,2
G3.UW.ALL.L35S1,B,2
G3.UW.ALL.L35S2,B,2
G3.UW.ALL.L37S1,B,2
G3.UW.ALL.L40S1,B,2
G3.UW.ALL.L40S2,B,1
G3.UW.ALL.L25S1,C,1
G3.UW.ALL.L29S1,C,1
G3.UW.ALL.L31S2,C,1
G3.UW.ALL.L32S1,C,2
G3.UW.ALL.L32S3,C,2
G3.UW.ALL.L35S1,C,2
G3.UW.ALL.L35S2,C,2
G3.UW.ALL.L37S1,C,2
G3.UW.ALL.L38S1,C,2
G3.UW.ALL.L40S1,C,2
G3.UW.ALL.L40S2,C,1
